Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,9021,1944,,,,,110.6,77.5,177.4,108.3,53.1,16.9,27,45.3,
IDCJAC0001,9021,1945,1.3,3.6,16.8,7.2,89.1,424.1,117.7,264.7,106.3,22.1,25.7,17.6,1096.2
IDCJAC0001,9021,1946,0,0.5,15.5,78.8,183.5,213.1,219.1,139.7,28.8,3.6,80.7,13,976.3
IDCJAC0001,9021,1947,0.8,0,10.9,86.2,197,269.5,158.5,53.8,75.2,107.5,25.7,9.3,994.4
IDCJAC0001,9021,1948,0,0,14.8,35.8,24.3,170.1,179.2,136.8,122,36.4,54.1,17.2,790.7
IDCJAC0001,9021,1949,4.9,8.4,17.8,48.8,15.2,80.6,152.1,152.3,38.7,69.1,30.8,0,618.7
IDCJAC0001,9021,1950,3.1,1.8,0,0.8,167.6,182.5,159.3,72.6,93,52.6,38.3,7.6,779.2
IDCJAC0001,9021,1951,1.5,28,2.4,113.3,53.3,222.3,76.1,124.5,38.3,50.2,15.8,65.5,791.2
IDCJAC0001,9021,1952,3.6,4.8,29.4,3.8,121.7,224,204.1,95.1,87.4,68.8,19.6,46.2,908.5
IDCJAC0001,9021,1953,0.8,33.4,4.4,28.5,165.9,227.5,153.2,84.2,55.1,83.8,36.9,0.3,874
IDCJAC0001,9021,1954,14.3,0.5,0.8,29.4,125.1,118,168.5,156.4,40.4,19.9,25,9,707.3
IDCJAC0001,9021,1955,3.1,120.7,6.3,68.8,107.5,107.1,162.9,340.3,104.2,124.5,6.7,12.6,1164.7
IDCJAC0001,9021,1956,0,1.3,31.6,50.8,220.9,181.3,202.2,29.7,53.5,28.3,35.2,4.6,839.4
IDCJAC0001,9021,1957,10.9,0.5,5.1,64,94.5,301.2,100.2,151,38.2,50,1.3,2.1,819
IDCJAC0001,9021,1958,10.2,0.6,0.5,12.6,111.2,65.3,446.7,48.8,33.4,71.2,15.2,9.9,825.6
IDCJAC0001,9021,1959,4.1,3.4,12.2,28.3,33.7,197.7,63.8,123.6,28.7,60.5,31.1,13.8,600.9
IDCJAC0001,9021,1960,22.9,7.2,54.8,23.2,144.6,124.2,195.5,53.9,66.8,23.1,6.9,8.4,731.5
IDCJAC0001,9021,1961,11,5.5,43.4,95.5,48.5,192.1,161.3,161.2,57.7,36.1,2,15.8,830.1
IDCJAC0001,9021,1962,0.8,4.4,0,12.5,170.6,169.6,172.5,76.2,56.6,47.9,45.8,13.8,770.7
IDCJAC0001,9021,1963,10.9,14.5,18.7,50.8,225,230.6,186.3,185.2,76.6,36.3,4.9,0.8,1040.6
IDCJAC0001,9021,1964,0.3,6.4,6.2,71.8,15,318.4,248.1,164.9,95.2,69.1,8.1,29,1032.5
IDCJAC0001,9021,1965,2.3,1,8.5,21.8,144.2,217.4,150,173.5,66,103.5,50.8,24.1,963.1
